"ISIN","AMC code","Scheme Name","AMC Name","AMC Image"
"INF179K01AD6","H","HDFC Hybrid Debt Fund(Q-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01XG1","H","HDFC Hybrid Debt Fund(M-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01AB0","H","HDFC Hybrid Debt Fund(M-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01VJ9","H","HDFC Focused 30 Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01566","H","HDFC Focused 30 Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01590","H","HDFC Flexi Cap Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01VB6","H","HDFC Capital Builder Value Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01418","H","HDFC Capital Builder Value Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01822","H","HDFC Balanced Advantage Fund(IDCW-Reinv)","HDFC Mutual Fund",""
"INF179K01YT2","H","HDFC Top 100 Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01BE2","H","HDFC Top 100 Fund - Growth Option - Regular Plan","HDFC Mutual Fund",""
"INF179K01YV8","H","HDFC Top 100 Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1RX3","H","HDFC Small Cap Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1SA9","H","HDFC Small Cap Fund - IDCW Option","HDFC Mutual Fund",""
"INF179KA1RW5","H","HDFC Small Cap Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1RZ8","H","HDFC Small Cap Fund - Growth Option","HDFC Mutual Fund",""
"INF179K01CS0","H","HDFC Mid-Cap Opportunities Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01XO5","H","HDFC Mid-Cap Opportunities Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01CR2","H","HDFC Mid-Cap Opportunities Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01XQ0","H","HDFC Mid-Cap Opportunities Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01996","H","HDFC Long Term Advantage Plan - Growth Plan","HDFC Mutual Fund",""
"INF179K01WX8","H","HDFC Long Term Advantage Plan - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1RR5","H","HDFC Large and Mid Cap Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1RU9","H","HDFC Large and Mid Cap Fund - IDCW Option","HDFC Mutual Fund",""
"INF179KA1RQ7","H","HDFC Large and Mid Cap Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1RT1","H","HDFC Large and Mid Cap Fund - Growth Option","HDFC Mutual Fund",""
"INF179K01GE1","H","HDFC Infrastructure Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01GF8","H","HDFC Infrastructure Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01WQ2","H","HDFC Infrastructure Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01AQ8","H","HDFC Hybrid Equity Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01XX6","H","HDFC Hybrid Equity Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01AS4","H","HDFC Hybrid Equity Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01XZ1","H","HDFC Hybrid Equity Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01XH9","H","HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan","HDFC Mutual Fund",""
"INF179K01AC8","H","HDFC Hybrid Debt Fund - IDCW Quarterly","HDFC Mutual Fund",""
"INF179K01XF3","H","HDFC Hybrid Debt Fund - IDCW Monthly - Direct Plan","HDFC Mutual Fund",""
"INF179K01AA2","H","HDFC Hybrid Debt Fund - IDCW Monthly","HDFC Mutual Fund",""
"INF179K01AE4","H","HDFC Hybrid Debt Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01XE6","H","HDFC Hybrid Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01558","H","HDFC Focused 30 Fund - IDCW PLAN","HDFC Mutual Fund",""
"INF179K01VI1","H","HDFC Focused 30 Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01574","H","HDFC Focused 30 Fund - GROWTH PLAN","HDFC Mutual Fund",""
"INF179K01582","H","HDFC Flexi Cap Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01VL5","H","HDFC Flexi Cap Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01608","H","HDFC Flexi Cap Fund - Growth Plan","HDFC Mutual Fund",""
