"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"","","","","","","","","","","","","","","","60d7fd8512","Pending","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","88000509ab","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","9b2ee262df","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","8f265c08fc","Esign Done","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","d1014be58c","Esign Done","Reject","Rejected","System Manager",1,""
"Loan Application Approval","Loan Application","workflow_state",1,0,0,"b81dc8c7aa","Waiting to be pledged","Administrator","0","","",1,"","","08186fe3d3","Waiting to be pledged","Pending pledge","Executing pledge","Administrator",1,""
"","","","","","","bc3166acd6","Executing pledge","Administrator","0","","",0,"","","75597661e9","Waiting to be pledged","Reject","Rejected","Administrator",1,""
"","","","","","","6efcbbb245","Pledge executed","Lender","0","status","Pledge executed",0,"","","d71dd2e4b0","Waiting to be pledged","Reject","Rejected","Lender",1,""
"","","","","","","92b0bbb757","Pledge accepted by Lender","Lender","0","status","Pledge accepted by Lender",0,"","","be05cd5580","Waiting to be pledged","Reject","Rejected","Loan Customer",1,""
"","","","","","","45cf0a2f38","Esign Done","Lender","0","status","Esign Done",0,"","","c7c42f2cb8","Executing pledge","Pending pledge","Pledge executed","Administrator",1,""
"","","","","","","49af9c3190","Ready for Approval","Lender","0","status","Ready for Approval",0,"","","5df4db667c","Pledge executed","Approve","Pledge accepted by Lender","Lender",1,""
"","","","","","","02f22824df","Approved","Lender","0","status","Approved",0,"","","90b52fc916","Pledge executed","Approve","Pledge accepted by Lender","System Manager",1,""
"","","","","","","68da1cbfa1","Rejected","Lender","0","status","Rejected",0,"","","0d40c203f9","Pledge executed","Reject","Rejected","Administrator",1,""
"","","","","","","","","","","","","","","","12bac48fb5","Pledge executed","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","ce29aea83c","Pledge accepted by Lender","Esign","Esign Done","Lender",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","97ff237122","Pledge accepted by Lender","Esign","Esign Done","Loan Customer",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","7c61a1220c","Pledge accepted by Lender","Esign","Esign Done","System Manager",1,"doc.get('loan_margin_shortfall') == None"
"","","","","","","","","","","","","","","","1b3327f709","Pledge accepted by Lender","Send for Approval","Ready for Approval","System Manager",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","d8b1af9b97","Pledge accepted by Lender","Send for Approval","Ready for Approval","Loan Customer",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","db89f6efba","Pledge accepted by Lender","Send for Approval","Ready for Approval","Lender",1,"doc.get('loan_margin_shortfall') != None"
"","","","","","","","","","","","","","","","83faf1b40a","Esign Done","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","a7108a62e9","Esign Done","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","fd3e7548e2","Ready for Approval","Approve","Approved","System Manager",1,""
"","","","","","","","","","","","","","","","3b98a3068f","Ready for Approval","Approve","Approved","Lender",1,""
"","","","","","","","","","","","","","","","5f1cf3b1d0","Esign Done","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","be3895ecc2","Esign Done","Reject","Rejected","Lender",1,""
"","","","","","","","","","","","","","","","19d0619d36","Ready for Approval","Reject","Rejected","System Manager",1,""
"","","","","","","","","","","","","","","","2d9eded3d8","Ready for Approval","Reject","Rejected","Lender",1,""
