name
"BOMBAY MERCANTILE COOPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"BOMBAY MERCANTILE COOPERATIVE BANK LTD",1
"B N P PARIBAS","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"B N P PARIBAS",1
"BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE",1
"BANK OF AMERICA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"BANK OF AMERICA",12022-05-10 18:35:52.864867
""2022-05-10 18:35:52.864867MUFG BANK, LTD"",2022-05-10 18:35:52.864867"",2022-05-10 18:35:52.864867"","Administrator","Administrator",0,"","","",0,""MUFG BANK, LTD"",1
"CENTRAL BANK OF INDIA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CENTRAL BANK OF INDIA",1
"CITIZEN CREDIT COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CITIZEN CREDIT COOPERATIVE BANK LIMITED",1
"JP MORGAN BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"JP MORGAN BANK",1
"CITI BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CITI BANK",1
"CITY UNION BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CITY UNION BANK LIMITED",1
"CAPITAL SMALL FINANCE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CAPITAL SMALL FINANCE BANK LIMITED",1
"CANARA BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CANARA BANK",1
"COASTAL LOCAL AREA BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"COASTAL LOCAL AREA BANK LTD",1
"THE COSMOS CO OPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE COSMOS CO OPERATIVE BANK LIMITED",1
"CREDIT SUISEE AG","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CREDIT SUISEE AG",1
"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CALYON BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CALYON BANK",1
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED",1
"CSB BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CSB BANK LIMITED",1
"CTBC BANK CO LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"CTBC BANK CO LTD",1
"DBS BANK INDIA LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DBS BANK INDIA LIMITED",1
"DCB BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DCB BANK LIMITED",1
