ISIN,Security/Scheme Name,Price/NAV,Segment,NSE Symbol,Instrument Type,Token ID,Scheme Type
INF209KB13G7,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB12G9,Aditya Birla Sun Life Nifty Next 50 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB11G1,Aditya Birla Sun Life Nifty Next 50 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209K01LA4,Aditya Birla Sun Life Nifty 50 Index Fund-IDCW-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund-IDCW-Regular Plan),,,,Mutual Fund,,Equity
INF209K01LB2,Aditya Birla Sun Life Nifty 50 Index Fund - Growth-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - Growth-Regular Plan),,,,Mutual Fund,,Equity
INF209K01LC0,Aditya Birla Sun Life Nifty 50 Index Fund - IDCW - Reinvestment-Regular Plan (formerly known as Aditya Birla Sun Life Index Fund - IDCW - Reinvestment-Regular Plan),,,,Mutual Fund,,Equity
INF209KB1V91,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1V83,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1W09,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W25,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209KB1W17,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF209KB1W33,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W58,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1W41,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1W66,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1W82,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209KB1W74,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF209KB1W90,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1Z55,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW,,,,Mutual Fund,,Equity
INF209KB1Z48,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF209KB1Z63,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209KB1Z89,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct IDCW,,,,Mutual Fund,,Equity
INF209KB1Z71,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF209KB1Z97,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct IDCW Reinvestment,,,,Mutual Fund,,Equity
INF209K01BO6,Aditya Birla Sun Life Frontline Equity Fund -IDCW-Regular Plan,,,,Mutual Fund,,Equity
INF209K01ED3,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- Dividend Reinvest,,,,Mutual Fund,,Equity
INF209K01BP3,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- IDCW,,,,Mutual Fund,,Equity
INF209K01EC5,Aditya Birla Sun Life Frontline Equity Fund - IDCW Reinvest-Regular Plan,,,,Mutual Fund,,Equity
INF209K01BQ1,Aditya Birla Sun Life Frontline Equity Fund -PLAN B- Growth,,,,Mutual Fund,,Equity
INF209K01BR9,Aditya Birla Sun Life Frontline Equity Fund -Growth-Regular Plan,,,,Mutual Fund,,Equity
INF209K01KI9,Aditya Birla Sun Life Frontline Equity Fund (Trigger Facility) - Growth,,,,Mutual Fund,,Equity
INF740K01243,DSP Top 100 Equity Fund - Regular Plan - Growth,,,,Mutual Fund,,Equity
INF740K01227,DSP Top 100 Equity Fund - Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF740K01235,DSP Top 100 Equity Fund - Regular Plan - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF740KA1CO4,DSP Equal Nifty 50 Fund - Reg - Growth,,,,Mutual Fund,,Equity
INF740KA1CP1,DSP Equal Nifty 50 Fund - Reg - IDCW,,,,Mutual Fund,,Equity
INF740KA1CQ9,DSP Equal Nifty 50 Fund - Reg - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF740KA1MJ3,DSP Nifty 50 Index Fund - Reg - Growth,,,,Mutual Fund,,Equity
INF740KA1MK1,DSP Nifty 50 Index Fund - Reg - IDCW,,,,Mutual Fund,,Equity
INF740KA1ML9,DSP Nifty 50 Index Fund - Reg - IDCW Reinvest,,,,Mutual Fund,,Equity
INF740KA1MD6,DSP Nifty Next 50 Index Fund - Reg - Growth,,,,Mutual Fund,,Equity
INF740KA1ME4,DSP Nifty Next 50 Index Fund - Reg - IDCW,,,,Mutual Fund,,Equity
INF740KA1MF1,DSP Nifty Next 50 Index Fund - Reg - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF740KA1CR7,DSP Equal Nifty 50 Fund - Dir - Growth,,,,Mutual Fund,,Equity
INF740KA1CS5,DSP Equal Nifty 50 Fund - Dir - IDCW,,,,Mutual Fund,,Equity
INF740KA1CT3,DSP Equal Nifty 50 Fund - Dir - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF740KA1MM7,DSP Nifty 50 Index Fund - Dir - Growth,,,,Mutual Fund,,Equity
INF740KA1MN5,DSP Nifty 50 Index Fund - Dir - IDCW,,,,Mutual Fund,,Equity
INF740KA1MO3,DSP Nifty 50 Index Fund - Dir - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF740KA1MG9,DSP Nifty Next 50 Index Fund - Dir - Growth,,,,Mutual Fund,,Equity
INF740KA1MH7,DSP Nifty Next 50 Index Fund - Dir - IDCW,,,,Mutual Fund,,Equity
INF740KA1MI5,DSP Nifty Next 50 Index Fund - Dir - IDCW - Reinvest,,,,Mutual Fund,,Equity
INF179KC1BY3,HDFC NIFTY 100 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF179KC1CA1,HDFC NIFTY 100 Equal Weight Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF179K01BC6,HDFC Top 100 Fund - Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF179K01BD4,HDFC Top 100 Fund - Regular Plan - IDCW Reinvest,,,,Mutual Fund,,Equity
INF179K01BE2,HDFC Top 100 Fund - Regular Plan - Growth,,,,Mutual Fund,,Equity
INF179K01KZ8,HDFC Index Fund-NIFTY 50 Plan - Regular Plan,,,,Mutual Fund,,Equity
INF179K01LB7,HDFC Index Fund - Sensex Plus Plan - Regular Plan,,,,Mutual Fund,,Equity
INF179K01LA9,HDFC Index Fund - Sensex Plan - Regular Plan,,,,Mutual Fund,,Equity
INF179KC1BM8,HDFC NIFTY50 Equal Weight Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF179KC1BN6,HDFC NIFTY50 Equal Weight Index Fund Regular Growth,,,,Mutual Fund,,Equity
INF179KC1BQ9,HDFC NIFTY Next 50 Index Fund Direct Growth,,,,Mutual Fund,,Equity
INF336L01032,HSBC Large cap Equity Fund - IDCW,,,,Mutual Fund,,Equity
INF336L01024,HSBC Large cap Equity Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF336L01016,HSBC Large cap Equity Fund - Growth,,,,Mutual Fund,,Equity
INF109K01BI0,ICICI Prudential Smallcap Fund - Growth,,,,Mutual Fund,,Equity
INF109K01BJ8,ICICI Prudential Smallcap Fund - IDCW,,,,Mutual Fund,,Equity
INF109K01BK6,ICICI Prudential Smallcap Fund - Institutional Growth,,,,Mutual Fund,,Equity
INF109K01BL4,ICICI Prudential Bluechip Fund - Growth,,,,Mutual Fund,,Equity
INF109K01BM2,ICICI Prudential Bluechip Fund - IDCW,,,,Mutual Fund,,Equity
INF109K01EP9,ICICI Prudential Bluechip Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF109K01BN0,ICICI Prudential Bluechip Fund - Institutional Option - I,,,,Mutual Fund,,Equity
INF109K01IF1,ICICI Prudential Nifty Next 50 Index Fund - Growth,,,,Mutual Fund,,Equity
INF109K01IE4,ICICI Prudential Nifty Next 50 Index Fund - IDCW,,,,Mutual Fund,,Equity
INF109K01PR1,ICICI Prudential Nifty Next 50 Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF109KB17W7,ICICI Prudential Sensex Index Fund Growth,,,,Mutual Fund,,Equity
INF109KC1U84,ICICI Prudential Smallcap Index Fund - Growth,,,,Mutual Fund,,Equity
INF109KC1V00,ICICI Prudential Smallcap Index Fund - IDCW,,,,Mutual Fund,,Equity
INF109KC1U92,ICICI Prudential Smallcap Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC1W25,ICICI Prudential Midcap 150 Index Fund - Growth,,,,Mutual Fund,,Equity
INF109KC1W41,ICICI Prudential Midcap 150 Index Fund - IDCW,,,,Mutual Fund,,Equity
INF109KC1W33,ICICI Prudential Midcap 150 Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC1Z89,ICICI Prudential Nifty Bank Index Fund - Growth,,,,Mutual Fund,,Equity
INF109KC1Z97,ICICI Prudential Nifty Bank Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC1NS5,ICICI Prudential Nifty Next 50 ETF,,,,Mutual Fund,,Equity
INF109KC1G82,ICICI Prudential Midcap 150 ETF,,,,Mutual Fund,,Equity
INF109K014M3,ICICI Prudential Smallcap Fund - Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF109K013M5,ICICI Prudential Smallcap Fund - Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF109K016L0,ICICI Prudential Bluechip Fund - Direct Plan - Growth,,,,Mutual Fund,,Equity
INF109K015L2,ICICI Prudential Bluechip Fund - Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF109K014L5,ICICI Prudential Bluechip Fund - Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC1V18,ICICI Prudential Smallcap Index Fund - Direct Plan - Growth,,,,Mutual Fund,,Equity
INF109KC1V34,ICICI Prudential Smallcap Index Fund - Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF109KC1V26,ICICI Prudential Smallcap Index Fund - Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC1W58,ICICI Prudential Midcap 150 Index Fund - Direct Plan - Growth,,,,Mutual Fund,,Equity
INF109KC1W74,ICICI Prudential Midcap 150 Index Fund - Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF109KC1W66,ICICI Prudential Midcap 150 Index Fund - Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF109KC11A4,ICICI Prudential Nifty Bank Index Fund - Direct Plan - Growth,,,,Mutual Fund,,Equity
INF194K01516,IDFC Large Cap Fund-Growth-(Regular Plan),,,,Mutual Fund,,Equity
INF194K01490,IDFC Large Cap Fund-IDCW-(Regular Plan),,,,Mutual Fund,,Equity
INF194K01508,IDFC Large Cap Fund-IDCW-(Regular Plan)-Reinv-Exch,,,,Mutual Fund,,Equity
INF194K01920,IDFC Nifty Fund-Growth-(Regular Plan),,,,Mutual Fund,,Equity
INF194K01938,IDFC Nifty Fund-IDCW-(Regular Plan),,,,Mutual Fund,,Equity
INF194K01946,IDFC Nifty Fund-IDCW-(Regular Plan)-Reinv-Exch,,,,Mutual Fund,,Equity
INF194KB1CO4,IDFC Nifty 100 Index Fund Regular Plan-Growth,,,,Mutual Fund,,Equity
INF194KB1CP1,IDFC Nifty 100 Index Fund Regular Plan-IDCW,,,,Mutual Fund,,Equity
INF194KB1CQ9,IDFC Nifty 100 Index Fund Regular Plan-IDCW (Reinvestment),,,,Mutual Fund,,Equity
INF194K012A8,IDFC Nifty Fund-Growth-(Direct Plan),,,,Mutual Fund,,Equity
INF194K013A6,IDFC Nifty Fund-IDCW-(Direct Plan),,,,Mutual Fund,,Equity
INF194K014A4,IDFC Nifty Fund-IDCW-(Direct Plan) - Reinv Exch,,,,Mutual Fund,,Equity
INF194KB1CR7,IDFC Nifty 100 Index Fund Direct Plan-Growth,,,,Mutual Fund,,Equity
INF194KB1CS5,IDFC Nifty 100 Index Fund Direct Plan-IDCW,,,,Mutual Fund,,Equity
INF194KB1CT3,IDFC Nifty 100 Index Fund Direct Plan-IDCW (Reinvestment),,,,Mutual Fund,,Equity
INF174K01161,Kotak Bluechip Fund-IDCW (Regular Plan) (Erstwhile Kotak 50 Scheme),,,,Mutual Fund,,Equity
INF174K01179,Kotak Bluechip Fund - IDCW (Regular Plan) (Erstwhile Kotak 50 Scheme),,,,Mutual Fund,,Equity
INF174K01153,Kotak Bluechip Fund - Growth (Regular Plan) (Erstwhile Kotak 50 Scheme),,,,Mutual Fund,,Equity
INF174KA1FX3,Kotak Nifty Next 50 Index Fund Growth (Regular Plan),,,,Mutual Fund,,Equity
INF174KA1GA9,Kotak Nifty Next 50 Index Fund Direct - Growth,,,,Mutual Fund,,Equity
INF174KA1FY1,Kotak Nifty Next 50 Index Fund- IDCW(Regular Plan),,,,Mutual Fund,,Equity
INF174KA1GB7,Kotak Nifty Next 50 Index Fund Direct - IDCW,,,,Mutual Fund,,Equity
INF174KA1FZ8,Kotak Nifty Next 50 Index Fund Direct - IDCW,,,,Mutual Fund,,Equity
INF174KA1FW5,Kotak Nifty Next 50 Index Fund IDCW (Regular Plan),,,,Mutual Fund,,Equity
INF174KA1GX1,Kotak Nifty 50 Index Fund Growth (Regular Plan),,,,Mutual Fund,,Equity
INF174KA1HA7,Kotak Nifty 50 Index Fund Direct - Growth,,,,Mutual Fund,,Equity
INF174KA1GZ6,Kotak Nifty 50 Index Fund- IDCW(Regular Plan),,,,Mutual Fund,,Equity
INF174KA1HC3,Kotak Nifty 50 Index Fund Direct - IDCW,,,,Mutual Fund,,Equity
INF174KA1HB5,Kotak Nifty 50 Index Fund Direct - IDCW,,,,Mutual Fund,,Equity
INF174KA1GY9,Kotak Nifty 50 Index Fund IDCW (Regular Plan),,,,Mutual Fund,,Equity
INF677K01171,L&T India Large Cap Fund - IDCW,,,,Mutual Fund,,Equity
INF677K01155,L&T India Large Cap Fund - Growth,,,,Mutual Fund,,Equity
INF677K01163,L&T India Large Cap Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF917K01D04,L&T Nifty 50 Index Fund Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF917K01C96,L&T Nifty 50 Index Fund Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF917K01D46,L&T Nifty 50 Index Fund - IDCW,,,,Mutual Fund,,Equity
INF917K01D20,L&T Nifty 50 Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF917K01D12,L&T Nifty 50 Index Fund Direct Plan - Growth,,,,Mutual Fund,,Equity
INF917K01D38,L&T Nifty 50 Index Fund - Growth,,,,Mutual Fund,,Equity
INF917K01D61,L&T Nifty Next 50 Index Fund Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF917K01D53,L&T Nifty Next 50 Index Fund Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF917K01E03,L&T Nifty Next 50 Index Fund - IDCW,,,,Mutual Fund,,Equity
INF917K01D87,L&T Nifty Next 50 Index Fund - IDCW Payout,,,,Mutual Fund,,Equity
INF917K01D79,L&T Nifty Next 50 Index Fund Direct Plan - Growth,,,,Mutual Fund,,Equity
INF917K01D95,L&T Nifty Next 50 Index Fund - Growth,,,,Mutual Fund,,Equity
INF174V01739,Mahindra Manulife Large Cap Pragati Yojana - Direct - IDCW,,,,Mutual Fund,,Equity
INF174V01721,Mahindra Manulife Large Cap Pragati Yojana - Direct - Growth,,,,Mutual Fund,,Equity
INF174V01747,Mahindra Manulife Large Cap Pragati Yojana - Direct - IDCW Payout,,,,Mutual Fund,,Equity
INF174V01705,Mahindra Manulife Large Cap Pragati Yojana - Regular - IDCW,,,,Mutual Fund,,Equity
INF174V01697,Mahindra Manulife Large Cap Pragati Yojana - Regular - Growth,,,,Mutual Fund,,Equity
INF174V01713,Mahindra Manulife Large Cap Pragati Yojana - Regular - IDCW Payout,,,,Mutual Fund,,Equity
INF200K01552,SBI Nifty Index Fund - Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF200K01545,SBI Nifty Index Fund - Regular Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF200K01172,SBI Blue Chip Fund - Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF200K01164,SBI Blue Chip Fund - Regular Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF200K01180,SBI Blue Chip Fund - Regular Plan - Growth,,,,Mutual Fund,,Equity
INF200KA1V92,SBI Nifty Next 50 Index Fund - Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF200KA1V84,SBI Nifty Next 50 Index Fund - Regular Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF200KA1V76,SBI Nifty Next 50 Index Fund - Regular Plan - Growth,,,,Mutual Fund,,Equity
INF200K01TD0,SBI Nifty Index Fund - Direct Plan - IDCW,,,,Mutual Fund,,Equity
INF200K01TC2,SBI Nifty Index Fund - Direct Plan - IDCW Payout,,,,Mutual Fund,,Equity
INF277K01741,Tata Index Fund Nifty - Regular Plan,,,,Mutual Fund,,Equity
INF277K01758,Tata Index Fund Sensex - Regular Plan,,,,Mutual Fund,,Equity
INF277K01766,Tata Index Fund Sensex Plan - Option B,,,,Mutual Fund,,Equity
INF277K01931,Tata Large Cap Fund Regular Plan - Growth,,,,Mutual Fund,,Equity
INF277K01923,Tata Large Cap Fund Regular Plan - IDCW,,,,Mutual Fund,,Equity
INF582M01CQ5,Union Largecap Fund Regular Growth,,,,Mutual Fund,,Equity
INF582M01CU7,Union Largecap Fund Direct Plan-Growth,,,,Mutual Fund,,Equity
INF582M01CR3,Union Largecap Fund Regular Plan IDCW Payout,,,,Mutual Fund,,Equity
INF582M01CV5,Union Largecap Fund Direct Plan-IDCW Payout,,,,Mutual Fund,,Equity
INF582M01CS1,Union Largecap Fund Regular Plan IDCW Reinvestment,,,,Mutual Fund,,Equity
INF582M01CW3,Union Largecap Fund Direct Plan-IDCW Reinvestment,,,,Mutual Fund,,Equity
INF582M01CT9,Union Largecap Fund Regular Plan IDCW Transfer,,,,Mutual Fund,,Equity
INF582M01CX1,Union Largecap Fund Direct Plan- IDCW Transfer,,,,Mutual Fund,,Equity
INF209KB13F9,Aditya Birla Sun Life Silver ETF Fund of Fund Regular Growth,,,,Mutual Fund,,Debt
INF209KB15F4,Aditya Birla Sun Life Silver ETF Fund of Fund Regular IDCW Reinvestment,,,,Mutual Fund,,Debt
INF209KB17F0,Aditya Birla Sun Life Silver ETF Fund of Fund Direct IDCW Payout,,,,Mutual Fund,,Debt
INF209KB16F2,Aditya Birla Sun Life Silver ETF Fund of Fund Direct Growth,,,,Mutual Fund,,Debt
INF209K01MB0,Aditya Birla Sun Life Savings Fund - Retail - Daily IDCW,,,,Mutual Fund,,Debt
INF209K01MC8,Aditya Birla Sun Life Savings Fund- Retail - Growth,,,,Mutual Fund,,Debt
INF209K01MD6,Aditya Birla Sun Life Savings Fund - Retail - Weekly IDCW,,,,Mutual Fund,,Debt
INF209K01LY4,Aditya Birla Sun Life Savings Fund - Daily IDCW-Regular Plan,,,,Mutual Fund,,Debt
INF209K01LZ1,Aditya Birla Sun Life Savings Fund - Growth-Regular Plan,,,,Mutual Fund,,Debt
INF209K01MA2,Aditya Birla Sun Life Savings Fund - Weekly IDCW-Regular Plan,,,,Mutual Fund,,Debt
INF209K01MJ3,Aditya Birla Sun Life Money Manager Fund Retail - Growth (formerly known as Aditya Birla Sun Life Floating Rate Fund Short Term Plan),,,,Mutual Fund,,Debt
INF209K01RV7,Aditya Birla Sun Life Money Manager Fund - Growth-Regular Plan (formerly known as Aditya Birla Sun Life Floating Rate Fund Short Term Plan),,,,Mutual Fund,,Debt
INF209K01R47,"Aditya Birla Sun Life Regular Savings Fund - Monthly IDCW-Direct Plan (formerly known as ABSL MIP II - Wealth 25 Plan erstwhile ABSL MIP, ABSL MIP II - Savings 5 Plan & ABSL Monthly Income merged)",,,,Mutual Fund,,Debt
INF209K01751,"Aditya Birla Sun Life Regular Savings Fund - Growth-Regular Plan (formerly known as ABSL MIP II - Wealth 25 Plan) erstwhile ABSL MIP, ABSL MIP II - Savings 5 Plan & ABSL Monthly Income merged)",,,,Mutual Fund,,Debt
INF209K01769,"Aditya Birla Sun Life Regular Savings Fund - Monthly IDCW-Regular Plan (formerly ABSL MIP II - Wealth 25 Plan erstwhile ABSL MIP, ABSL MIP II - Savings 5 Plan & ABSL Monthly Income merged)",,,,Mutual Fund,,Debt
INF209K01777,"Aditya Birla Sun Life Regular Savings Fund - Monthly Payment-Regular Plan (formerly known as ABSL MIP II - Wealth 25 Plan erstwhile ABSL MIP, ABSL MIP II - Savings 5 Plan & ABSL Monthly Income merged)",,,,Mutual Fund,,Debt
INF209K01JT8,Aditya Birla Sun Life Savings Fund (Discipline Advantage Plan) - Closed for FV change,,,,Mutual Fund,,Debt
INF209K01900,Aditya Birla Sun Life Savings Fund Instl. - Growth - Closed for FV change,,,,Mutual Fund,,Debt
INF209K01918,Aditya Birla Sun Life Savings Fund - Instl-Monthly IDCW,,,,Mutual Fund,,Debt
INF209K01926,Aditya Birla Sun Life Savings Fund - Instl - Weekly IDCW - Closed for FV change,,,,Mutual Fund,,Debt
INF209K01AC3,Aditya Birla Sun Life Government Securities Fund- Growth-Regular Plan (formerly known as ABSL Gilt Plus - PF Plan erstwhile ABSL Constant Maturity 10 Year Gilt Fund merged,,,,Mutual Fund,,Debt
INF209K01AD1,Aditya Birla Sun Life Government Securities Fund- Growth - Instant Gain-Regular Plan (formerly known as Aditya Birla Sun Life Gilt Plus - PF Plan),,,,Mutual Fund,,Debt
INF209K01AF6,Aditya Birla Sun Life Government Securities Fund- Quarterly IDCW-Regular Plan (formerly known as ABSL Gilt Plus - PF Plan erstwhile ABSL Constant Maturity 10 Year Gilt Fund merged,,,,Mutual Fund,,Debt
INF209K01PG2,Aditya Birla Sun Life Gold Fund IDCW-Regular Plan,,,,Mutual Fund,,Debt
INF209K01PH0,Aditya Birla Sun Life Gold Fund IDCW Reinvestment-Regular Plan,,,,Mutual Fund,,Debt
INF209K01PF4,Aditya Birla Sun Life Gold Fund Growth-Regular Plan,,,,Mutual Fund,,Debt
INF740K01466,DSP Regular Savings Fund - Regular Plan - IDCW - Monthly Reinvest,,,,Mutual Fund,,Debt
INF740K01482,DSP Regular Savings Fund - Regular Plan - IDCW - Quarterly Reinvest,,,,Mutual Fund,,Debt
INF740K01QS9,DSP Ultra Short Fund - Regular Plan - IDCW - Monthly,,,,Mutual Fund,,Debt
INF740K01QR1,DSP Ultra Short Fund - Regular Plan - IDCW - Monthly Reinvestment,,,,Mutual Fund,,Debt
INF740K01623,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,,,,Mutual Fund,,Debt
INF740K01722,DSP Savings Fund - Regular Plan - IDCW - Monthly,,,,Mutual Fund,,Debt
INF740K01615,DSP Government Securities Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF740K01607,DSP Government Securities Fund - Regular Plan - IDCW,,,,Mutual Fund,,Debt
INF740K01714,DSP Savings Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF740KA1QS5,DSP Nifty SDLPlus G-SecJun2028 30:70IndexFund-Reg-Growth Mat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740KA1QT3,DSP Nifty SDLPlus G-Sec Jun2028 30:70 IndexFund-Reg-IDCWMat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740KA1QU1,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Reg - IDCW-Re Mat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740K01706,DSP Savings Fund - Regular Plan - IDCW,,,,Mutual Fund,,Debt
INF740K01441,DSP Regular Savings Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF740K01458,DSP Regular Savings Fund - Regular Plan - IDCW - Monthly,,,,Mutual Fund,,Debt
INF740K01474,DSP Regular Savings Fund - Regular Plan - IDCW - Quarterly,,,,Mutual Fund,,Debt
INF740KA1QV9,DSP Nifty SDLPlus G-Sec Jun2028 30:70 IndexFund-Dir-GrowthMat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740KA1QW7,DSP Nifty SDLPlus G-Sec Jun2028 30:70 IndexFund-Dir-IDCWMat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740KA1QX5,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Dir - IDCW-Re Mat.Dt.30-06-2028,,,,Mutual Fund,,Debt
INF740K01QQ3,DSP Ultra Short Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF179KB1HR5,HDFC Money Market Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF179KB1HU9,HDFC Money Market Fund - Direct Plan - Growth Option,,,,Mutual Fund,,Debt
INF179KB1HZ8,HDFC Money Market Fund - Direct Plan - Daily IDCW Reinvestment,,,,Mutual Fund,,Debt
INF179K01LC5,HDFC Gold Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF179K01772,HDFC Gilt Fund - Regular Plan - IDCW,,,,Mutual Fund,,Debt
INF179K01764,HDFC Gilt Fund - Regular Plan - IDCW Reinvestment,,,,Mutual Fund,,Debt
INF179K01756,HDFC Gilt Fund - Regular Plan- Growth,,,,Mutual Fund,,Debt
INF179K01780,HDFC Gilt Fund Short Term - Regular Plan - IDCW,,,,Mutual Fund,,Debt
INF179K01798,HDFC Gilt Fund Short Term - Regular Plan - IDCW Reinvest,,,,Mutual Fund,,Debt
INF179K01806,HDFC Gilt Fund Short Term - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF179K01AB0,HDFC Hybrid Debt Fund - Regular Plan - Monthly IDCW Reinvestment,,,,Mutual Fund,,Debt
INF179K01AD6,HDFC Hybrid Debt Fund - Regular Plan - Quarterly IDCW Reinvestment,,,,Mutual Fund,,Debt
INF179K01AE4,HDFC Hybrid Debt Fund - Regular Plan - Growth,,,,Mutual Fund,,Debt
INF179K01AA2,HDFC Hybrid Debt Fund - Regular Plan - Monthly IDCW,,,,Mutual Fund,,Debt
INF179K01AC8,HDFC Hybrid Debt Fund - Regular Plan - Quarterly IDCW,,,,Mutual Fund,,Debt
INF179KB11R3,HDFC Ultra Short Term Fund - Regular Growth,,,,Mutual Fund,,Debt
INF336L01QM7,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Dividend,,,,Mutual Fund,,Debt
INF336L01QL9,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Dividend Payout,,,,Mutual Fund,,Debt
INF336L01QK1,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Growth,,,,Mutual Fund,,Debt
INF336L01QJ3,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Direct Plan Dividend,,,,Mutual Fund,,Debt
INF336L01QI5,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Direct Plan Dividend Payout,,,,Mutual Fund,,Debt
