Pincode|New District|State Name|State|Remarks
126115|Jind|HARYANA|HR|No change
126116|Jind|HARYANA|HR|No change
126125|Jind|HARYANA|HR|No change
126152|Jind|HARYANA|HR|No change
127021|Bhiwani|HARYANA|HR|No change
127022|CHARKI DADRI|HARYANA|HR|No change
127025|CHARKI DADRI|HARYANA|HR|No change
127026|CHARKI DADRI|HARYANA|HR|No change
127027|Bhiwani|HARYANA|HR|No change
127028|Bhiwani|HARYANA|HR|No change
127029|Bhiwani|HARYANA|HR|No change
127030|Bhiwani|HARYANA|HR|No change
127031|Bhiwani|HARYANA|HR|No change
127032|Bhiwani|HARYANA|HR|No change
127035|Bhiwani|HARYANA|HR|No change
127040|Bhiwani|HARYANA|HR|No change
127041|Bhiwani|HARYANA|HR|No change
127042|CHARKI DADRI|HARYANA|HR|No change
127043|Bhiwani|HARYANA|HR|No change
127045|Bhiwani|HARYANA|HR|No change
127046|Bhiwani|HARYANA|HR|No change
127111|Bhiwani|HARYANA|HR|No change
127114|Bhiwani|HARYANA|HR|No change
127201|Bhiwani|HARYANA|HR|No change
127306|CHARKI DADRI|HARYANA|HR|No change
127307|CHARKI DADRI|HARYANA|HR|No change
127308|CHARKI DADRI|HARYANA|HR|No change
127309|Bhiwani|HARYANA|HR|No change
127310|CHARKI DADRI|HARYANA|HR|No change
127311|Bhiwani|HARYANA|HR|No change
127312|CHARKI DADRI|HARYANA|HR|No change
131001|Sonipat|HARYANA|HR|No change
131021|Sonipat|HARYANA|HR|No change
131022|Sonipat|HARYANA|HR|No change
131023|Sonipat|HARYANA|HR|No change
131024|Sonipat|HARYANA|HR|No change
131027|Sonipat|HARYANA|HR|No change
131028|Sonipat|HARYANA|HR|No change
131029|Sonipat|HARYANA|HR|No change
131030|Sonipat|HARYANA|HR|No change
131039|Sonipat|HARYANA|HR|No change
131101|Sonipat|HARYANA|HR|No change
131102|Sonipat|HARYANA|HR|No change
131103|Sonipat|HARYANA|HR|No change
131301|Sonipat|HARYANA|HR|No change
131302|Sonipat|HARYANA|HR|No change
131304|Sonipat|HARYANA|HR|No change
131305|Sonipat|HARYANA|HR|No change
131306|Sonipat|HARYANA|HR|No change
131402|Sonipat|HARYANA|HR|No change
131403|Sonipat|HARYANA|HR|No change
131408|Sonipat|HARYANA|HR|No change
131409|Sonipat|HARYANA|HR|No change
132001|Karnal|HARYANA|HR|No change
132022|Karnal|HARYANA|HR|No change
132023|Karnal|HARYANA|HR|No change
132024|Karnal|HARYANA|HR|No change
132036|Karnal|HARYANA|HR|No change
132037|Karnal|HARYANA|HR|No change
132039|Karnal|HARYANA|HR|No change
132040|Karnal|HARYANA|HR|No change
132041|Karnal|HARYANA|HR|No change
132046|Karnal|HARYANA|HR|No change
132054|Karnal|HARYANA|HR|No change
132101|Panipat|HARYANA|HR|No change
132102|Panipat|HARYANA|HR|No change
132103|Panipat|HARYANA|HR|No change
132104|Panipat|HARYANA|HR|No change
132105|Panipat|HARYANA|HR|No change
132106|Panipat|HARYANA|HR|No change
132107|Panipat|HARYANA|HR|No change
132108|Panipat|HARYANA|HR|No change
132113|Panipat|HARYANA|HR|No change
132114|Karnal|HARYANA|HR|No change
132115|Panipat|HARYANA|HR|No change
132116|Karnal|HARYANA|HR|No change
132117|Karnal|HARYANA|HR|No change
132122|Panipat|HARYANA|HR|No change
132140|Panipat|HARYANA|HR|No change
132145|Panipat|HARYANA|HR|No change
132157|Karnal|HARYANA|HR|No change
133001|Ambala|HARYANA|HR|No change
133004|Ambala|HARYANA|HR|No change
133005|Ambala|HARYANA|HR|No change
133006|Ambala|HARYANA|HR|No change
133008|Ambala|HARYANA|HR|No change
133010|Ambala|HARYANA|HR|No change
133101|Ambala|HARYANA|HR|No change
133102|Ambala|HARYANA|HR|No change
133103|Yamunanagar|HARYANA|HR|No change
133104|Ambala|HARYANA|HR|No change
133201|Ambala|HARYANA|HR|No change
133203|Ambala|HARYANA|HR|No change
133204|Yamunanagar|HARYANA|HR|No change
133205|Ambala|HARYANA|HR|No change
133207|Ambala|HARYANA|HR|No change
133301|Panchkula|HARYANA|HR|No change
133302|Panchkula|HARYANA|HR|No change
134003|Ambala|HARYANA|HR|No change
134005|Ambala|HARYANA|HR|No change
134007|Ambala|HARYANA|HR|No change
134008|Ambala|HARYANA|HR|No change
134101|Panchkula|HARYANA|HR|No change
134102|Panchkula|HARYANA|HR|No change
134103|Panchkula|HARYANA|HR|No change
134104|Panchkula|HARYANA|HR|No change
134105|Panchkula|HARYANA|HR|No change
134107|Panchkula|HARYANA|HR|No change
134108|Panchkula|HARYANA|HR|No change
134109|Panchkula|HARYANA|HR|No change
134112|Panchkula|HARYANA|HR|No change
134113|Panchkula|HARYANA|HR|No change
134114|Panchkula|HARYANA|HR|No change
134116|Panchkula|HARYANA|HR|No change
134117|Panchkula|HARYANA|HR|No change
134202|Ambala|HARYANA|HR|No change
134203|Ambala|HARYANA|HR|No change
134204|Panchkula|HARYANA|HR|No change
134205|Panchkula|HARYANA|HR|No change
135001|Yamunanagar|HARYANA|HR|No change
135002|Yamunanagar|HARYANA|HR|No change
135003|Yamunanagar|HARYANA|HR|No change
135004|Yamunanagar|HARYANA|HR|No change
135021|Yamunanagar|HARYANA|HR|No change
135101|Yamunanagar|HARYANA|HR|No change
135102|Yamunanagar|HARYANA|HR|No change
135103|Yamunanagar|HARYANA|HR|No change
135106|Yamunanagar|HARYANA|HR|No change
135133|Yamunanagar|HARYANA|HR|No change
136020|Kaithal|HARYANA|HR|No change
136021|Kaithal|HARYANA|HR|No change
136026|Kaithal|HARYANA|HR|No change
136027|Kaithal|HARYANA|HR|No change
136030|Kurukshetra|HARYANA|HR|No change
136033|Kaithal|HARYANA|HR|No change
136034|Kaithal|HARYANA|HR|No change
136035|Kaithal|HARYANA|HR|No change
136038|Kurukshetra|HARYANA|HR|No change
136042|Kaithal|HARYANA|HR|No change
136043|Kaithal|HARYANA|HR|No change
136044|Kaithal|HARYANA|HR|No change
136117|Kaithal|HARYANA|HR|No change
136118|Kurukshetra|HARYANA|HR|No change
136119|Kurukshetra|HARYANA|HR|No change
136128|Kurukshetra|HARYANA|HR|No change
136129|Kurukshetra|HARYANA|HR|No change
136130|Kurukshetra|HARYANA|HR|No change
136131|Kurukshetra|HARYANA|HR|No change
136132|Kurukshetra|HARYANA|HR|No change
136134|Kurukshetra|HARYANA|HR|No change
136135|Kurukshetra|HARYANA|HR|No change
136136|Kurukshetra|HARYANA|HR|No change
136156|Kurukshetra|HARYANA|HR|No change
140001|Rupnagar|PUNJAB|PB|No change
140101|Rupnagar|PUNJAB|PB|No change
140102|Rupnagar|PUNJAB|PB|No change
140103|S.A.S Nagar|PUNJAB|PB|No change
140108|Rupnagar|PUNJAB|PB|No change
140109|S.A.S Nagar|PUNJAB|PB|No change
140110|S.A.S Nagar|PUNJAB|PB|No change
140111|Rupnagar|PUNJAB|PB|No change
140112|Rupnagar|PUNJAB|PB|No change
140113|Rupnagar|PUNJAB|PB|No change
140114|Rupnagar|PUNJAB|PB|No change
140115|Rupnagar|PUNJAB|PB|No change
140116|Rupnagar|PUNJAB|PB|No change
140117|Rupnagar|PUNJAB|PB|No change
140118|Rupnagar|PUNJAB|PB|No change
140119|Rupnagar|PUNJAB|PB|No change
140123|Rupnagar|PUNJAB|PB|No change
140124|Rupnagar|PUNJAB|PB|No change
140125|Rupnagar|PUNJAB|PB|No change
140126|Rupnagar|PUNJAB|PB|No change
140127|Rupnagar|PUNJAB|PB|No change
140128|Rupnagar|PUNJAB|PB|No change
140133|Rupnagar|PUNJAB|PB|No change
140201|S.A.S Nagar|PUNJAB|PB|No change
140301|S.A.S Nagar|PUNJAB|PB|No change
140306|S.A.S Nagar|PUNJAB|PB|No change
140307|S.A.S Nagar|PUNJAB|PB|No change
140308|S.A.S Nagar|PUNJAB|PB|No change
140401|Patiala|PUNJAB|PB|No change
140405|Fatehgarh Sahib|PUNJAB|PB|No change
140406|Fatehgarh Sahib|PUNJAB|PB|No change
140407|Fatehgarh Sahib|PUNJAB|PB|No change
140408|Fatehgarh Sahib|PUNJAB|PB|No change
140412|Fatehgarh Sahib|PUNJAB|PB|No change
140413|S.A.S Nagar|PUNJAB|PB|No change
140417|Patiala|PUNJAB|PB|No change
140501|S.A.S Nagar|PUNJAB|PB|No change
140506|S.A.S Nagar|PUNJAB|PB|No change
140507|S.A.S Nagar|PUNJAB|PB|No change
140603|S.A.S Nagar|PUNJAB|PB|No change
140604|S.A.S Nagar|PUNJAB|PB|No change
140701|Patiala|PUNJAB|PB|No change
140702|Patiala|PUNJAB|PB|No change
140802|Fatehgarh Sahib|PUNJAB|PB|No change
140901|S.A.S Nagar|PUNJAB|PB|No change
141001|Ludhiana|PUNJAB|PB|No change
141002|Ludhiana|PUNJAB|PB|No change
141003|Ludhiana|PUNJAB|PB|No change
141004|Ludhiana|PUNJAB|PB|No change
141006|Ludhiana|PUNJAB|PB|No change
141007|Ludhiana|PUNJAB|PB|No change
141008|Ludhiana|PUNJAB|PB|No change
141010|Ludhiana|PUNJAB|PB|No change
141011|Ludhiana|PUNJAB|PB|No change
141012|Ludhiana|PUNJAB|PB|No change
141013|Ludhiana|PUNJAB|PB|No change
141014|Ludhiana|PUNJAB|PB|No change
141015|Ludhiana|PUNJAB|PB|No change
141016|Ludhiana|PUNJAB|PB|No change
141017|Ludhiana|PUNJAB|PB|No change
141101|Ludhiana|PUNJAB|PB|No change
141102|Ludhiana|PUNJAB|PB|No change
141103|Ludhiana|PUNJAB|PB|No change
141104|Ludhiana|PUNJAB|PB|No change
141105|Ludhiana|PUNJAB|PB|No change
141106|Ludhiana|PUNJAB|PB|No change
141107|Ludhiana|PUNJAB|PB|No change
141108|Ludhiana|PUNJAB|PB|No change
141109|Ludhiana|PUNJAB|PB|No change
141110|Ludhiana|PUNJAB|PB|No change
141112|Ludhiana|PUNJAB|PB|No change
141113|Ludhiana|PUNJAB|PB|No change
141114|Ludhiana|PUNJAB|PB|No change
141115|Ludhiana|PUNJAB|PB|No change
141116|Ludhiana|PUNJAB|PB|No change
141117|Ludhiana|PUNJAB|PB|No change
141118|Ludhiana|PUNJAB|PB|No change
141119|Ludhiana|PUNJAB|PB|No change
141120|Ludhiana|PUNJAB|PB|No change
141121|Ludhiana|PUNJAB|PB|No change
141122|Ludhiana|PUNJAB|PB|No change
141123|Ludhiana|PUNJAB|PB|No change
141125|Ludhiana|PUNJAB|PB|No change
141126|Ludhiana|PUNJAB|PB|No change
141127|Ludhiana|PUNJAB|PB|No change
141201|Ludhiana|PUNJAB|PB|No change
141202|Ludhiana|PUNJAB|PB|No change
141203|Ludhiana|PUNJAB|PB|No change
141204|Ludhiana|PUNJAB|PB|No change
141205|Ludhiana|PUNJAB|PB|No change
141206|Ludhiana|PUNJAB|PB|No change
141401|Ludhiana|PUNJAB|PB|No change
141411|Fatehgarh Sahib|PUNJAB|PB|No change
141412|Ludhiana|PUNJAB|PB|No change
141413|Ludhiana|PUNJAB|PB|No change
141414|Ludhiana|PUNJAB|PB|No change
141415|Ludhiana|PUNJAB|PB|No change
141416|Ludhiana|PUNJAB|PB|No change
141417|Ludhiana|PUNJAB|PB|No change
141418|Ludhiana|PUNJAB|PB|No change
141419|Ludhiana|PUNJAB|PB|No change
141421|Ludhiana|PUNJAB|PB|No change
141422|Ludhiana|PUNJAB|PB|No change
141801|Fatehgarh Sahib|PUNJAB|PB|No change
142001|Moga|PUNJAB|PB|No change
142002|Moga|PUNJAB|PB|No change
142003|Moga|PUNJAB|PB|No change
142011|Moga|PUNJAB|PB|No change
142021|Ludhiana|PUNJAB|PB|No change
142022|Ludhiana|PUNJAB|PB|No change
142023|Ludhiana|PUNJAB|PB|No change
142024|Ludhiana|PUNJAB|PB|No change
142025|Ludhiana|PUNJAB|PB|No change
142026|Ludhiana|PUNJAB|PB|No change
142027|Ludhiana|PUNJAB|PB|No change
142028|Ludhiana|PUNJAB|PB|No change
142029|Ludhiana|PUNJAB|PB|No change
142030|Ludhiana|PUNJAB|PB|No change
142031|Ludhiana|PUNJAB|PB|No change
142032|Ludhiana|PUNJAB|PB|No change
142033|Ludhiana|PUNJAB|PB|No change
142034|Ludhiana|PUNJAB|PB|No change
142035|Ludhiana|PUNJAB|PB|No change
142036|Ludhiana|PUNJAB|PB|No change
142037|Moga|PUNJAB|PB|No change
142038|Moga|PUNJAB|PB|No change
142039|Moga|PUNJAB|PB|No change
142040|Moga|PUNJAB|PB|No change
142041|Moga|PUNJAB|PB|No change
142042|Moga|PUNJAB|PB|No change
142043|Moga|PUNJAB|PB|No change
142044|FIROZEPUR|PUNJAB|PB|No change
142045|Moga|PUNJAB|PB|No change
142046|Moga|PUNJAB|PB|No change
142047|FIROZEPUR|PUNJAB|PB|No change
142048|Moga|PUNJAB|PB|No change
142049|Moga|PUNJAB|PB|No change
142050|FIROZEPUR|PUNJAB|PB|No change
142052|FIROZEPUR|PUNJAB|PB|No change
142053|Moga|PUNJAB|PB|No change
142054|Moga|PUNJAB|PB|No change
142055|Moga|PUNJAB|PB|No change
142056|Moga|PUNJAB|PB|No change
142057|Moga|PUNJAB|PB|No change
142058|Moga|PUNJAB|PB|No change
142060|FIROZEPUR|PUNJAB|PB|No change
143001|Amritsar|PUNJAB|PB|No change
143002|Amritsar|PUNJAB|PB|No change
143003|Amritsar|PUNJAB|PB|No change
143004|Amritsar|PUNJAB|PB|No change
143005|Amritsar|PUNJAB|PB|No change
143006|Amritsar|PUNJAB|PB|No change
143008|Amritsar|PUNJAB|PB|No change
143009|Amritsar|PUNJAB|PB|No change
143022|Amritsar|PUNJAB|PB|No change
143101|Amritsar|PUNJAB|PB|No change
143102|Amritsar|PUNJAB|PB|No change
143103|Amritsar|PUNJAB|PB|No change
143105|Amritsar|PUNJAB|PB|No change
143108|Amritsar|PUNJAB|PB|No change
143109|Amritsar|PUNJAB|PB|No change
143111|Amritsar|PUNJAB|PB|No change
143112|Amritsar|PUNJAB|PB|No change
143113|Amritsar|PUNJAB|PB|No change
143114|Amritsar|PUNJAB|PB|No change
143115|Amritsar|PUNJAB|PB|No change
143116|Amritsar|PUNJAB|PB|No change
143117|Tarn Taran|PUNJAB|PB|No change
143118|Tarn Taran|PUNJAB|PB|No change
143119|Amritsar|PUNJAB|PB|No change
143149|Amritsar|PUNJAB|PB|No change
143201|Amritsar|PUNJAB|PB|No change
143202|Amritsar|PUNJAB|PB|No change
143203|Amritsar|PUNJAB|PB|No change
143204|Amritsar|PUNJAB|PB|No change
143205|Amritsar|PUNJAB|PB|No change
143301|Tarn Taran|PUNJAB|PB|No change
143302|Tarn Taran|PUNJAB|PB|No change
143303|Tarn Taran|PUNJAB|PB|No change
143304|Tarn Taran|PUNJAB|PB|No change
143305|Tarn Taran|PUNJAB|PB|No change
143401|Tarn Taran|PUNJAB|PB|No change
143402|Tarn Taran|PUNJAB|PB|No change
143406|Tarn Taran|PUNJAB|PB|No change
143407|Tarn Taran|PUNJAB|PB|No change
143408|Tarn Taran|PUNJAB|PB|No change
143409|Tarn Taran|PUNJAB|PB|No change
143410|Tarn Taran|PUNJAB|PB|No change
143411|Tarn Taran|PUNJAB|PB|No change
143412|Tarn Taran|PUNJAB|PB|No change
143413|Amritsar|PUNJAB|PB|No change
143414|Tarn Taran|PUNJAB|PB|No change
143415|Tarn Taran|PUNJAB|PB|No change
143416|Tarn Taran|PUNJAB|PB|No change
143419|Tarn Taran|PUNJAB|PB|No change
143422|Tarn Taran|PUNJAB|PB|No change
143501|Amritsar|PUNJAB|PB|No change
143502|Amritsar|PUNJAB|PB|No change
143504|Amritsar|PUNJAB|PB|No change
143505|Gurdaspur|PUNJAB|PB|No change
143506|Gurdaspur|PUNJAB|PB|No change
143507|Gurdaspur|PUNJAB|PB|No change
143511|Gurdaspur|PUNJAB|PB|No change
143512|Gurdaspur|PUNJAB|PB|No change
143513|Gurdaspur|PUNJAB|PB|No change
143514|Gurdaspur|PUNJAB|PB|No change
143515|Gurdaspur|PUNJAB|PB|No change
143516|Gurdaspur|PUNJAB|PB|No change
143517|Gurdaspur|PUNJAB|PB|No change
143518|Gurdaspur|PUNJAB|PB|No change
143519|Gurdaspur|PUNJAB|PB|No change
143520|Gurdaspur|PUNJAB|PB|No change
143521|Gurdaspur|PUNJAB|PB|No change
143526|Gurdaspur|PUNJAB|PB|No change
143527|Gurdaspur|PUNJAB|PB|No change
143528|Gurdaspur|PUNJAB|PB|No change
143529|Gurdaspur|PUNJAB|PB|No change
143530|Gurdaspur|PUNJAB|PB|No change
143532|Gurdaspur|PUNJAB|PB|No change
143534|Pathankot|PUNJAB|PB|No change
143601|Amritsar|PUNJAB|PB|No change
143602|Gurdaspur|PUNJAB|PB|No change
143603|Amritsar|PUNJAB|PB|No change
143604|Gurdaspur|PUNJAB|PB|No change
143605|Gurdaspur|PUNJAB|PB|No change
143606|Amritsar|PUNJAB|PB|No change
144001|Jalandhar|PUNJAB|PB|No change
144002|Jalandhar|PUNJAB|PB|No change
144003|Jalandhar|PUNJAB|PB|No change
144004|Jalandhar|PUNJAB|PB|No change
144005|Jalandhar|PUNJAB|PB|No change
144006|Jalandhar|PUNJAB|PB|No change
144007|Jalandhar|PUNJAB|PB|No change
144008|Jalandhar|PUNJAB|PB|No change
144009|Jalandhar|PUNJAB|PB|No change
144010|Jalandhar|PUNJAB|PB|No change
144011|Jalandhar|PUNJAB|PB|No change
144012|Jalandhar|PUNJAB|PB|No change
144020|Jalandhar|PUNJAB|PB|No change
144021|Jalandhar|PUNJAB|PB|No change
144022|Jalandhar|PUNJAB|PB|No change
144023|Jalandhar|PUNJAB|PB|No change
144024|Jalandhar|PUNJAB|PB|No change
144025|Jalandhar|PUNJAB|PB|No change
144026|Jalandhar|PUNJAB|PB|No change
144027|Jalandhar|PUNJAB|PB|No change
144028|Jalandhar|PUNJAB|PB|No change
144030|Jalandhar|PUNJAB|PB|No change
144031|Jalandhar|PUNJAB|PB|No change
144032|Jalandhar|PUNJAB|PB|No change
144033|Jalandhar|PUNJAB|PB|No change
144034|Jalandhar|PUNJAB|PB|No change
144035|Jalandhar|PUNJAB|PB|No change
144036|Jalandhar|PUNJAB|PB|No change
144037|Jalandhar|PUNJAB|PB|No change
144039|Jalandhar|PUNJAB|PB|No change
144040|Jalandhar|PUNJAB|PB|No change
144041|Jalandhar|PUNJAB|PB|No change
144042|Jalandhar|PUNJAB|PB|No change
144043|Jalandhar|PUNJAB|PB|No change
144044|Jalandhar|PUNJAB|PB|No change
144101|Jalandhar|PUNJAB|PB|No change
144102|Jalandhar|PUNJAB|PB|No change
